08.05.2024 08:13:26.836: [I] Ham2: Add entity=[ham_guard], expected process=[ham2] (argv = /usr/bin/ham2)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[logger], expected process=[logger] (argv = /usr/bin/logger -t)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[gpiod], expected process=[gpiod] (argv = /scripts/gpiod.sh)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[devc-soe], expected process=[devc-soe] (argv = /usr/sbin/devc-soe)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[hart_dhub_driver], expected process=[hart_dhub_driver] (argv = /scripts/dhub/hart_dhub_driver.sh)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[sysinfo0], expected process=[sysinfo] (argv = /etc/init/sysinfo.sh system)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[sysinfo1], expected process=[sysinfo] (argv = /etc/init/sysinfo.sh net_default)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[sysinfo2], expected process=[sysinfo] (argv = /etc/init/sysinfo.sh net_redundancy)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[sysinfo3], expected process=[sysinfo] (argv = /etc/init/sysinfo.sh net_ethercat)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[opcua_dhub_driver], expected process=[opcua_dhub_driver] (argv = /scripts/dhub/opc_ua_server_dhub_driver.sh)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[MdbSerialMstrDhubDriver], expected process=[MdbSerialMstrDhubDriver] (argv = /scripts/dhub/modbus_serial_master_dhub_driver.sh)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[MdbSerialSlvDhubDriver], expected process=[MdbSerialSlvDhubDriver] (argv = /scripts/dhub/modbus_serial_slave_dhub_driver.sh)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[MdbTcpMstrDhubDriver], expected process=[MdbTcpMstrDhubDriver] (argv = /scripts/dhub/modbus_tcp_master_dhub_driver.sh)
08.05.2024 08:13:26.840: [I] Ham2: Add entity=[MdbTcpSlvDhubDriver], expected process=[MdbTcpSlvDhubDriver] (argv = /scripts/dhub/modbus_tcp_slave_dhub_driver.sh)
08.05.2024 08:13:26.841: [I] Ham2: Add entity=[rbloop], expected process=[rbloop] (argv = /scripts/dhub/rbloop.sh)
08.05.2024 08:13:26.841: [I] Ham2: Add entity=[regul-bus-driver], expected process=[regul-bus-driver] (argv = /scripts/dhub/regulbus_dhub_driver.sh)
08.05.2024 08:13:26.841: [I] Ham2: Add entity=[redundancy_dhub_driver], expected process=[redundancy_dhub_driver] (argv = /scripts/dhub/redundancy_dhub_driver.sh)
08.05.2024 08:13:26.841: [I] Ham2: Add entity=[IEC60870Driver], expected process=[iec60870driver] (argv = /scripts/dhub/iec60870_dhub_driver.sh)
08.05.2024 08:13:26.842: [I] Ham2: Add entity=[codesyscontrol], expected process=[codesyscontrol] (argv = /usr/bin/runtime-launcher)
08.05.2024 08:13:26.842: [I] Ham2: Add entity=[espd-default], expected process=[espd] (argv = /scripts/espd.sh default)
08.05.2024 08:13:26.842: [I] Ham2: Add entity=[espd-rdd], expected process=[espd] (argv = /scripts/espd.sh redundancy)
08.05.2024 08:13:26.842: [I] Ham2: Add entity=[ssdsmart], expected process=[ssdsmart] (argv = /usr/bin/ssdsmart)
08.05.2024 08:13:26.842: [I] Ham2: Add entity=[supcd], expected process=[supcd] (argv = /usr/bin/supcd)
08.05.2024 08:13:26.898: [I] Ham2: Entity start: ham_guard (pid: 5079139, count start: 1)
08.05.2024 08:13:26.934: [I] Ham2: Entity attach: logger (pid: 1171471, attach count: 1)
08.05.2024 08:13:26.935: [I] Ham2: Add entity=[ham], expected process=[ham2] (argv = /usr/bin/ham2)
08.05.2024 08:13:26.980: [I] Ham2: Entity attach: gpiod (pid: 2220075, attach count: 1)
08.05.2024 08:13:26.981: [I] Ham2: Entity attach: ham (pid: 4919384, attach count: 1)
08.05.2024 08:13:26.982: [I] Ham2: Service started successfully
08.05.2024 08:13:27.027: [I] Ham2: Entity start: devc-soe (pid: 5144677, count start: 1)
08.05.2024 08:13:27.200: [I] Ham2: Entity start: hart_dhub_driver (pid: 5275758, count start: 1)
08.05.2024 08:13:27.322: [I] Ham2: Entity start: sysinfo0 (pid: 5374073, count start: 1)
08.05.2024 08:13:27.609: [I] Ham2: Entity start: sysinfo1 (pid: 5562454, count start: 1)
08.05.2024 08:13:27.792: [I] Ham2: Entity start: sysinfo2 (pid: 5664879, count start: 1)
08.05.2024 08:13:28.233: [I] Ham2: Entity start: sysinfo3 (pid: 5963892, count start: 1)
08.05.2024 08:13:28.581: [I] Ham2: Entity start: opcua_dhub_driver (pid: 6156405, count start: 1)
08.05.2024 08:13:28.802: [I] Ham2: Entity start: MdbSerialMstrDhubDriver (pid: 6258741, count start: 1)
08.05.2024 08:13:28.947: [I] Ham2: Entity start: MdbSerialSlvDhubDriver (pid: 6344793, count start: 1)
08.05.2024 08:13:29.033: [I] Ham2: Entity start: MdbTcpMstrDhubDriver (pid: 6394006, count start: 1)
08.05.2024 08:13:29.083: [I] Ham2: Entity start: MdbTcpSlvDhubDriver (pid: 6406299, count start: 1)
08.05.2024 08:13:29.143: [I] Ham2: Entity attach: rbloop (pid: 3358774, attach count: 1)
08.05.2024 08:13:29.188: [I] Ham2: Entity start: regul-bus-driver (pid: 6451357, count start: 1)
08.05.2024 08:13:29.243: [I] Ham2: Entity start: redundancy_dhub_driver (pid: 6475932, count start: 1)
08.05.2024 08:13:29.311: [I] Ham2: Entity start: IEC60870Driver (pid: 6496417, count start: 1)
08.05.2024 08:13:29.424: [I] Ham2: Entity start: codesyscontrol (pid: 6533286, count start: 1)
08.05.2024 08:13:29.474: [I] Ham2: Entity start: espd-default (pid: 6533287, count start: 1)
08.05.2024 08:13:29.556: [I] Ham2: Entity start: espd-rdd (pid: 6537387, count start: 1)
08.05.2024 08:13:29.750: [I] Ham2: Entity start: ssdsmart (pid: 6590639, count start: 1)
08.05.2024 08:13:29.879: [I] Ham2: Entity start: supcd (pid: 6631548, count start: 1)
08.05.2024 08:13:29.880: [I] Ham2: Service started successfully
08.05.2024 10:22:11.385: [I] Ham2: Entity exited: devc-soe (pid: 5144677, count death: 1, exit code: 0)
08.05.2024 10:22:11.899: [I] Ham2: Entity attach: devc-soe (pid: 5144677, attach count: 1)
13.05.2024 04:26:35.218: ================================================NEW LOG SESSION===================================================
13.05.2024 04:26:35.231: [I] Ham2: Add entity=[ham_guard], expected process=[ham2] (argv = /usr/bin/ham2)
13.05.2024 04:26:35.233: [I] Ham2: Add entity=[logger], expected process=[logger] (argv = /usr/bin/logger -t)
13.05.2024 04:26:35.234: [I] Ham2: Add entity=[gpiod], expected process=[gpiod] (argv = /scripts/gpiod.sh)
13.05.2024 04:26:35.234: [I] Ham2: Add entity=[devc-soe], expected process=[devc-soe] (argv = /usr/sbin/devc-soe)
13.05.2024 04:26:35.234: [I] Ham2: Add entity=[hart_dhub_driver], expected process=[hart_dhub_driver] (argv = /scripts/dhub/hart_dhub_driver.sh)
13.05.2024 04:26:35.234: [I] Ham2: Add entity=[sysinfo0], expected process=[sysinfo] (argv = /etc/init/sysinfo.sh system)
13.05.2024 04:26:35.234: [I] Ham2: Add entity=[sysinfo1], expected process=[sysinfo] (argv = /etc/init/sysinfo.sh net_default)
13.05.2024 04:26:35.234: [I] Ham2: Add entity=[sysinfo2], expected process=[sysinfo] (argv = /etc/init/sysinfo.sh net_redundancy)
13.05.2024 04:26:35.234: [I] Ham2: Add entity=[sysinfo3], expected process=[sysinfo] (argv = /etc/init/sysinfo.sh net_ethercat)
13.05.2024 04:26:35.234: [I] Ham2: Add entity=[opcua_dhub_driver], expected process=[opcua_dhub_driver] (argv = /scripts/dhub/opc_ua_server_dhub_driver.sh)
13.05.2024 04:26:35.234: [I] Ham2: Add entity=[MdbSerialMstrDhubDriver], expected process=[MdbSerialMstrDhubDriver] (argv = /scripts/dhub/modbus_serial_master_dhub_driver.sh)
13.05.2024 04:26:35.234: [I] Ham2: Add entity=[MdbSerialSlvDhubDriver], expected process=[MdbSerialSlvDhubDriver] (argv = /scripts/dhub/modbus_serial_slave_dhub_driver.sh)
